Passenger_ID,Arrival_Minute,Wait_Time_Minutes,Check_Duration_Minutes,Departure_Minute
Passenger_85,46.98,9.59,2.56,59.12
Passenger_87,48.83,8.17,2.51,59.52
Passenger_88,48.84,9.94,1.77,60.55
Passenger_89,48.88,10.24,1.79,60.91
Passenger_90,49.95,9.57,1.59,61.11
Passenger_91,50.85,9.7,1.77,62.32
Passenger_92,52.0,8.92,2.79,63.7
Passenger_93,52.14,8.97,2.63,63.74
Passenger_94,52.62,9.7,1.79,64.11
Passenger_95,53.4,10.31,1.75,65.46
Passenger_97,54.48,9.63,1.45,65.56
Passenger_96,53.46,10.29,1.87,65.61
Passenger_99,55.34,10.21,1.68,67.24
Passenger_98,55.33,10.12,2.14,67.6
Passenger_100,55.45,10.16,2.25,67.86
Passenger_102,56.65,10.95,1.26,68.86
Passenger_101,55.65,11.59,2.31,69.54
Passenger_103,58.63,9.22,2.17,70.03
Passenger_104,58.7,10.17,2.19,71.05
Passenger_106,60.81,9.22,1.14,71.17
Passenger_105,60.46,9.09,1.86,71.4
Passenger_108,61.6,9.57,1.92,73.09
Passenger_107,60.96,10.09,2.26,73.31
Passenger_109,61.82,9.58,2.02,73.42
Passenger_110,61.86,11.23,2.55,75.64
Passenger_112,63.35,10.07,2.87,76.28
Passenger_111,62.41,10.91,3.64,76.95
Passenger_113,63.98,11.66,2.4,78.04
Passenger_114,64.16,12.13,1.97,78.25
Passenger_115,65.57,11.38,2.48,79.43
Passenger_116,66.0,12.04,1.66,79.7
Passenger_117,66.29,11.96,2.57,80.82
Passenger_119,66.73,12.97,1.48,81.19
Passenger_118,66.41,13.01,2.83,82.26
Passenger_120,67.89,12.93,2.67,83.49
Passenger_121,68.74,12.44,2.47,83.65
Passenger_122,69.44,12.82,2.26,84.52
Passenger_123,69.55,13.94,2.06,85.55
Passenger_124,69.59,14.07,2.14,85.8
Passenger_125,69.86,14.66,2.36,86.88
Passenger_126,70.35,15.19,1.77,87.32
Passenger_128,70.83,16.05,1.03,87.91
Passenger_127,70.69,15.1,2.59,88.39
Passenger_129,71.37,15.95,2.07,89.39
Passenger_130,72.95,14.96,2.28,90.19
Passenger_131,73.1,15.29,2.24,90.63
Passenger_132,73.9,15.48,1.5,90.89
Passenger_134,74.89,15.74,2.2,92.83
Passenger_133,74.54,15.65,2.65,92.84
Passenger_135,75.78,15.11,2.44,93.33
Passenger_138,77.11,16.22,1.09,94.42
Passenger_137,76.6,16.24,1.9,94.74
Passenger_136,76.46,16.37,2.37,95.2
Passenger_140,77.76,16.98,2.55,97.29
Passenger_139,77.6,16.82,2.96,97.38
Passenger_141,77.8,17.39,2.57,97.77
Passenger_143,78.13,19.25,1.92,99.31
Passenger_144,78.2,19.57,1.89,99.66
Passenger_142,77.97,19.32,2.43,99.72
Passenger_145,78.33,20.97,0.86,100.16
Passenger_147,78.63,21.09,1.96,101.68
Passenger_146,78.37,21.29,2.24,101.9
Passenger_148,79.02,21.14,2.25,102.41
Passenger_149,79.29,22.39,1.6,103.28
Passenger_151,79.68,22.73,1.51,103.92
Passenger_150,79.41,22.5,2.05,103.95
Passenger_152,80.27,23.01,1.3,104.58
Passenger_153,81.23,22.69,1.66,105.57
Passenger_154,81.69,22.25,1.95,105.9
Passenger_155,81.82,22.76,2.03,106.61
Passenger_156,81.94,23.63,1.57,107.15
Passenger_157,82.23,23.67,1.72,107.61
Passenger_158,82.24,24.37,2.15,108.76
Passenger_159,82.45,24.7,1.94,109.09
Passenger_160,82.54,25.07,2.12,109.73
Passenger_162,82.92,26.16,1.91,111.0
Passenger_161,82.85,25.91,2.72,111.49
Passenger_163,83.41,26.32,2.08,111.81
Passenger_165,83.67,27.81,1.51,112.99
Passenger_164,83.42,27.57,2.44,113.43
Passenger_166,83.98,27.83,1.92,113.73
Passenger_168,84.25,29.18,1.68,115.11
Passenger_167,84.01,28.98,2.27,115.26
Passenger_169,84.37,29.37,1.64,115.38
Passenger_170,84.56,30.55,1.21,116.33
Passenger_171,85.26,30.0,1.87,117.13
Passenger_172,86.15,29.22,2.32,117.69
Passenger_173,86.68,29.65,1.86,118.19
Passenger_174,87.38,29.75,1.34,118.47
Passenger_175,87.98,29.71,1.79,119.49
Passenger_176,88.45,29.74,2.0,120.19
Passenger_177,89.31,29.17,1.91,120.39
Passenger_178,90.98,28.51,2.68,122.17
Passenger_180,91.77,28.62,1.93,122.32
Passenger_179,91.03,29.16,2.2,122.39
Passenger_182,93.18,29.14,1.57,123.88
Passenger_181,92.72,29.44,2.23,124.39
Passenger_183,93.53,28.86,2.46,124.85
Passenger_185,94.45,29.94,1.94,126.34
Passenger_184,94.4,29.49,2.6,126.48
Passenger_186,94.74,30.11,2.68,127.52
Passenger_188,95.73,30.75,1.91,128.39
Passenger_187,95.4,30.94,2.3,128.63
Passenger_190,96.67,31.72,1.44,129.82
Passenger_189,96.02,31.51,2.59,130.11
Passenger_191,96.83,31.8,1.82,130.46
Passenger_193,98.74,31.38,1.35,131.46
Passenger_192,97.78,32.04,2.12,131.95
Passenger_194,98.84,31.62,2.05,132.51
Passenger_195,98.95,32.5,1.96,133.42
Passenger_196,99.75,32.19,2.0,133.94
Passenger_197,100.34,32.16,2.01,134.52
Passenger_199,101.18,32.77,0.72,134.66
Passenger_198,101.13,32.29,1.51,134.93
Passenger_200,101.3,33.21,2.06,136.57
Passenger_201,101.89,32.77,2.43,137.1
Passenger_202,102.21,32.72,2.43,137.36
Passenger_204,103.05,34.04,1.35,138.44
Passenger_203,102.9,33.68,2.04,138.61
Passenger_205,103.2,34.16,1.7,139.06
Passenger_208,104.09,34.97,1.71,140.77
Passenger_206,103.26,35.18,2.4,140.84
Passenger_207,103.37,35.24,2.71,141.32
Passenger_209,105.97,34.8,2.0,142.77
Passenger_210,105.97,34.87,2.0,142.84
Passenger_211,106.36,34.97,1.89,143.22
Passenger_213,108.35,34.5,1.44,144.28
Passenger_212,106.52,36.25,1.78,144.54
Passenger_214,108.64,34.58,2.61,145.82
Passenger_215,108.74,35.55,2.5,146.78
Passenger_216,108.76,35.78,2.78,147.32
Passenger_217,109.63,36.2,2.37,148.2
Passenger_218,110.12,36.66,1.84,148.62
Passenger_219,112.68,34.65,2.36,149.68
Passenger_220,113.66,34.54,2.27,150.47
Passenger_221,114.2,34.42,2.14,150.76
Passenger_222,114.24,35.44,1.43,151.11
Passenger_223,114.24,36.23,1.72,152.19
Passenger_224,114.54,36.22,1.47,152.23
Passenger_225,114.99,36.12,2.21,153.32
Passenger_226,115.16,37.03,1.58,153.77
Passenger_227,115.77,36.46,1.98,154.21
Passenger_228,117.13,36.2,1.55,154.87
Passenger_229,117.65,36.12,2.22,155.99
Passenger_230,118.07,36.15,1.97,156.19
Passenger_231,118.65,36.22,2.14,157.02
Passenger_232,118.8,37.19,2.55,158.53
Passenger_233,118.84,37.34,2.84,159.03
Passenger_234,120.48,36.54,2.18,159.2
Passenger_236,121.82,37.21,1.68,160.71
Passenger_235,121.72,36.82,2.22,160.75
Passenger_237,122.26,36.94,3.19,162.38
Passenger_238,122.3,38.41,2.38,163.09
Passenger_239,122.52,38.24,2.54,163.29
Passenger_240,123.11,39.27,1.84,164.23
Passenger_242,124.73,38.56,2.41,165.7
Passenger_241,123.28,39.81,3.12,166.21
Passenger_243,124.93,39.3,2.06,166.28
Passenger_244,125.29,40.42,1.56,167.27
Passenger_246,127.73,38.56,1.74,168.03
Passenger_245,127.5,38.71,2.62,168.83
Passenger_248,129.76,38.27,1.67,169.7
Passenger_247,128.44,38.82,2.5,169.77
Passenger_249,129.82,39.01,1.43,170.26
Passenger_252,133.42,36.84,0.37,170.63
Passenger_251,132.52,37.25,1.49,171.26
Passenger_250,131.63,38.07,1.73,171.43
Passenger_254,136.74,34.52,1.7,172.96
Passenger_255,136.91,34.52,1.88,173.31
Passenger_253,135.38,35.25,3.72,174.36
Passenger_256,137.09,35.87,1.75,174.71
Passenger_257,137.53,35.78,1.68,174.99
Passenger_258,137.92,36.43,1.83,176.18
Passenger_259,138.23,36.48,1.65,176.36
Passenger_260,138.42,36.57,1.74,176.74
Passenger_261,138.52,37.66,2.33,178.51
Passenger_263,139.49,37.24,1.91,178.64
Passenger_262,138.66,37.7,2.44,178.79
Passenger_265,142.33,36.32,1.0,179.64
Passenger_266,142.63,36.16,1.28,180.07
Passenger_264,140.35,38.16,2.66,181.17
Passenger_267,143.27,36.37,2.31,181.96
Passenger_268,143.86,36.21,2.1,182.17
Passenger_269,144.39,36.78,2.06,183.23
Passenger_270,144.58,37.38,2.05,184.0
Passenger_271,145.61,36.56,2.1,184.27
Passenger_274,146.16,38.11,1.55,185.83
Passenger_272,145.63,37.6,3.18,186.4
Passenger_273,145.66,38.34,2.56,186.56
Passenger_275,146.21,39.61,2.23,188.05
Passenger_277,147.75,38.82,2.12,188.68
Passenger_276,146.72,39.69,3.09,189.49
Passenger_278,147.98,40.07,1.62,189.68
Passenger_279,148.06,40.62,1.7,190.38
Passenger_280,148.44,41.06,1.52,191.01
Passenger_281,148.53,41.15,2.27,191.95
Passenger_283,149.6,41.42,1.08,192.09
Passenger_282,148.57,41.81,2.39,192.77
Passenger_285,151.03,41.07,1.16,193.25
Passenger_284,150.82,41.13,2.09,194.04
Passenger_286,151.47,41.3,1.58,194.34
Passenger_287,151.61,41.64,1.78,195.04
Passenger_289,152.97,41.37,2.21,196.55
Passenger_288,152.55,41.5,2.55,196.59
Passenger_290,153.4,41.64,1.98,197.02
Passenger_293,154.61,42.4,1.71,198.73
Passenger_292,154.44,42.15,2.15,198.74
Passenger_291,153.98,42.57,2.3,198.85
Passenger_294,155.41,43.31,2.0,200.73
Passenger_296,156.41,42.44,2.22,201.06
Passenger_295,155.92,42.82,2.73,201.48
Passenger_297,156.9,43.83,1.46,202.2
Passenger_298,158.07,43.0,2.03,203.1
Passenger_299,158.36,43.12,1.83,203.3
Passenger_300,158.79,43.4,2.54,204.73
Passenger_302,159.66,43.65,1.62,204.93
Passenger_301,158.97,44.13,2.35,205.45
Passenger_303,160.03,44.7,2.16,206.89
Passenger_304,161.26,43.67,2.46,207.39
Passenger_305,162.08,43.37,2.4,207.86
Passenger_306,162.77,44.13,2.15,209.04
Passenger_308,164.97,42.89,1.77,209.62
Passenger_307,164.41,42.98,2.84,210.23
Passenger_310,165.97,43.66,2.01,211.63
Passenger_309,165.53,43.52,2.79,211.84
Passenger_311,165.98,44.25,2.62,212.84
Passenger_313,167.93,43.91,1.53,213.37
Passenger_312,167.06,44.58,2.19,213.83
Passenger_314,168.19,44.65,1.89,214.73
Passenger_315,168.24,45.12,1.88,215.25
Passenger_316,169.33,44.49,2.7,216.53
Passenger_318,169.94,45.31,2.48,217.73
Passenger_317,169.89,44.85,3.43,218.17
Passenger_319,170.28,46.25,2.28,218.81
Passenger_321,170.52,47.65,2.81,220.98
Passenger_320,170.29,47.44,3.31,221.04
Passenger_322,170.82,47.99,3.08,221.89
Passenger_323,171.04,49.94,1.65,222.63
Passenger_325,172.23,49.66,1.4,223.29
Passenger_324,171.29,49.75,2.75,223.79
Passenger_326,172.75,49.89,1.49,224.13
Passenger_328,173.62,50.17,1.49,225.28
Passenger_329,174.64,49.49,2.2,226.32
Passenger_327,173.2,50.09,3.22,226.51
Passenger_330,175.79,49.49,1.91,227.19
Passenger_331,176.33,49.99,1.84,228.16
Passenger_332,176.53,49.98,1.95,228.46
Passenger_333,177.21,49.97,2.3,229.49
Passenger_335,177.63,50.83,1.22,229.69
Passenger_334,177.57,50.59,2.05,230.22
Passenger_336,177.98,51.51,1.46,230.95
Passenger_338,179.69,50.52,1.94,232.15
Passenger_337,179.43,50.25,2.49,232.18
Passenger_339,180.89,50.05,1.89,232.84
Passenger_341,181.56,50.62,1.56,233.74
Passenger_340,181.05,51.1,2.62,234.77
Passenger_343,184.81,48.94,1.96,235.7
Passenger_342,184.17,48.67,2.93,235.77
Passenger_344,184.94,49.83,2.15,236.92
Passenger_346,185.45,50.32,1.67,237.43
Passenger_345,185.14,50.56,1.82,237.52
Passenger_347,185.71,51.21,2.08,239.01
Passenger_348,185.76,51.67,1.74,239.18
Passenger_349,186.04,51.48,1.84,239.36
Passenger_350,186.13,52.88,1.22,240.22
Passenger_352,187.82,51.54,2.08,241.44
Passenger_351,187.41,51.77,2.54,241.71
Passenger_353,188.02,52.2,1.93,242.15
Passenger_354,188.08,53.35,2.38,243.82
Passenger_355,188.78,52.94,2.54,244.25
Passenger_356,188.9,53.25,2.88,245.03
Passenger_357,189.43,54.38,1.9,245.72
Passenger_358,189.56,54.69,2.44,246.69
Passenger_360,190.0,55.72,2.05,247.77
Passenger_359,189.99,55.05,3.21,248.25
Passenger_361,191.32,55.37,1.59,248.28
Passenger_363,191.71,56.53,0.98,249.22
Passenger_362,191.51,56.26,1.84,249.6
Passenger_364,191.72,56.56,1.99,250.27
Passenger_365,192.74,56.48,2.08,251.3
Passenger_366,192.75,56.85,2.21,251.81
Passenger_367,193.44,56.83,2.61,252.88
Passenger_368,194.08,57.23,2.15,253.46
Passenger_369,194.12,57.69,1.87,253.68
Passenger_371,194.23,59.22,1.22,254.68
Passenger_370,194.15,58.73,2.19,255.06
Passenger_372,194.72,58.96,1.81,255.49
Passenger_375,196.12,59.37,1.75,257.24
Passenger_373,195.26,59.42,2.61,257.29
Passenger_374,195.42,59.65,2.53,257.59
Passenger_376,196.18,61.06,1.72,258.97
Passenger_378,196.63,60.96,1.59,259.19
Passenger_377,196.46,60.83,1.99,259.28
Passenger_380,197.34,61.85,1.86,261.05
Passenger_379,196.88,62.09,2.44,261.4
Passenger_381,197.49,61.8,2.33,261.61
Passenger_384,198.37,63.24,1.7,263.32
Passenger_383,197.69,63.72,2.01,263.41
Passenger_382,197.68,63.36,2.57,263.62
Passenger_385,198.47,64.84,1.43,264.74
Passenger_386,198.71,64.7,2.11,265.53
Passenger_387,199.32,64.3,2.1,265.72
Passenger_388,199.59,65.15,2.22,266.97
Passenger_389,199.65,65.88,2.24,267.76
Passenger_390,199.66,66.05,2.15,267.86
Passenger_391,199.86,67.11,1.35,268.32
Passenger_393,201.15,66.72,1.48,269.34
Passenger_392,200.67,67.1,1.64,269.41
Passenger_394,201.33,66.99,1.41,269.73
Passenger_397,201.96,67.77,1.13,270.86
Passenger_396,201.9,67.51,1.64,271.04
Passenger_395,201.54,67.8,2.05,271.39
Passenger_400,203.82,67.57,1.8,273.19
Passenger_399,202.96,68.08,2.19,273.23
Passenger_398,202.31,68.55,2.67,273.54
Passenger_401,204.28,68.91,1.93,275.12
Passenger_403,205.7,67.84,1.9,275.44
Passenger_402,204.99,68.24,2.23,275.46
Passenger_406,207.56,67.9,1.71,277.17
Passenger_405,207.48,67.96,1.75,277.18
Passenger_404,206.99,68.13,2.7,277.82
Passenger_407,207.59,69.57,1.57,278.73
Passenger_408,207.88,69.3,2.1,279.28
Passenger_409,207.91,69.91,2.0,279.82
Passenger_410,208.27,70.47,2.14,280.87
Passenger_411,208.45,70.83,1.62,280.9
Passenger_412,208.75,71.06,1.24,281.05
Passenger_415,210.08,70.98,1.5,282.55
Passenger_414,209.67,71.23,2.21,283.11
Passenger_413,208.78,72.09,2.25,283.12
Passenger_416,210.86,71.69,1.81,284.36
Passenger_418,212.02,71.11,2.02,285.14
Passenger_417,211.69,71.41,2.05,285.16
Passenger_419,212.37,71.99,2.18,286.53
Passenger_421,212.6,72.55,2.38,287.54
Passenger_420,212.46,72.68,2.67,287.81
Passenger_422,212.89,73.64,2.27,288.81
Passenger_423,212.98,74.56,1.73,289.27
Passenger_424,213.21,74.6,2.19,290.0
Passenger_426,213.83,75.43,1.18,290.45
Passenger_425,213.38,75.43,2.29,291.1
Passenger_428,213.92,76.53,1.07,291.52
Passenger_427,213.87,76.13,2.1,292.09
Passenger_430,214.65,76.87,1.34,292.86
Passenger_429,214.48,76.62,2.35,293.45
Passenger_431,215.29,76.8,2.56,294.65
Passenger_432,215.73,77.12,2.09,294.94
Passenger_433,215.81,77.65,2.65,296.1
Passenger_434,216.02,78.63,1.81,296.47
Passenger_435,217.74,77.2,2.28,297.22
Passenger_437,218.16,78.31,1.61,298.07
Passenger_436,217.92,78.18,2.22,298.32
Passenger_438,218.94,78.27,2.03,299.25
Passenger_439,219.52,78.55,1.79,299.87
Passenger_440,219.9,78.42,2.84,301.15
Passenger_442,220.69,79.17,1.76,301.62
Passenger_441,220.42,78.84,2.43,301.68
Passenger_444,221.14,80.48,1.0,302.62
Passenger_443,220.92,80.24,2.35,303.5
Passenger_445,221.27,80.41,2.37,304.04
Passenger_446,221.34,81.27,1.76,304.38
Passenger_447,221.38,82.12,1.45,304.95
Passenger_448,222.31,81.73,2.2,306.24
Passenger_450,223.13,81.82,1.33,306.28
Passenger_449,223.04,81.34,2.24,306.62
Passenger_452,224.28,81.99,1.98,308.25
Passenger_451,224.02,82.22,2.62,308.86
Passenger_453,224.58,82.04,2.59,309.21
Passenger_454,224.75,83.51,1.17,309.43
Passenger_455,225.44,83.43,2.43,311.29
Passenger_457,226.45,82.98,1.94,311.36
Passenger_456,225.62,83.59,2.71,311.92
Passenger_459,226.92,84.45,1.97,313.33
Passenger_458,226.68,84.61,2.07,313.36
Passenger_460,227.29,84.62,1.74,313.66
Passenger_463,228.98,84.67,1.69,315.34
Passenger_462,227.95,85.42,2.01,315.38
Passenger_461,227.44,85.89,2.24,315.57
Passenger_466,230.34,85.23,1.84,317.41
Passenger_465,230.32,85.06,2.43,317.81
Passenger_464,229.14,86.2,2.56,317.9
Passenger_467,230.36,87.04,1.82,319.22
Passenger_468,230.71,87.1,1.54,319.35
Passenger_469,230.85,87.06,1.72,319.62
Passenger_470,233.45,85.77,2.16,321.38
Passenger_471,233.52,85.83,2.08,321.43
Passenger_472,234.14,85.49,2.18,321.8
Passenger_473,234.18,87.2,1.35,322.73
Passenger_475,235.23,86.58,1.17,322.97
Passenger_474,234.33,87.11,2.19,323.62
Passenger_476,235.6,87.13,1.55,324.28
Passenger_477,235.66,87.31,1.59,324.56
Passenger_478,235.83,87.79,1.28,324.9
Passenger_480,236.19,88.37,1.29,325.85
Passenger_479,236.14,88.15,1.92,326.2
Passenger_481,237.37,87.53,2.32,327.22
Passenger_483,237.87,88.33,1.4,327.61
Passenger_482,237.73,88.12,2.5,328.35
Passenger_484,238.14,89.08,1.66,328.88
Passenger_485,238.69,88.92,2.22,329.82
Passenger_487,240.57,88.31,1.66,330.55
Passenger_486,238.73,89.62,2.68,331.04
Passenger_488,242.55,87.27,2.2,332.02
Passenger_489,242.75,87.79,2.09,332.64
Passenger_490,242.78,88.26,2.08,333.12
Passenger_491,243.17,88.85,1.67,333.69
Passenger_492,244.01,88.63,2.22,334.85
Passenger_493,244.51,88.61,2.46,335.58
Passenger_494,244.68,89.01,2.28,335.97
Passenger_495,244.71,90.15,1.23,336.09
Passenger_496,244.82,90.76,2.29,337.87
Passenger_498,246.19,89.89,1.8,337.89
Passenger_497,244.84,91.14,2.22,338.19
Passenger_500,247.65,90.24,1.86,339.75
Passenger_499,246.89,90.98,2.19,340.06
Passenger_501,248.66,89.54,2.36,340.55
Passenger_502,249.95,89.81,1.85,341.6
Passenger_503,250.41,89.65,2.92,342.97
Passenger_505,250.64,90.96,1.59,343.19
Passenger_504,250.6,89.95,3.66,344.21
Passenger_507,251.37,91.82,1.39,344.58
Passenger_506,251.18,91.79,2.24,345.21
Passenger_508,251.95,92.26,2.39,346.61
Passenger_509,252.97,91.61,2.44,347.02
Passenger_510,253.78,91.43,2.48,347.69
Passenger_511,254.2,92.41,1.44,348.05
Passenger_512,254.66,92.35,2.2,349.21
Passenger_513,255.23,92.45,1.78,349.47
Passenger_514,255.61,92.44,1.84,349.89
Passenger_515,255.75,93.46,1.84,351.05
Passenger_517,256.48,93.41,1.83,351.72
Passenger_516,255.81,93.65,2.56,352.03
Passenger_518,256.82,94.23,1.59,352.64
Passenger_520,257.48,94.55,1.56,353.59
Passenger_519,257.07,94.65,2.12,353.83
Passenger_522,258.73,94.85,0.83,354.42
Passenger_521,258.44,94.2,2.57,355.21
Passenger_524,259.35,95.07,0.99,355.41
Passenger_523,258.78,95.05,2.24,356.07
Passenger_525,260.31,94.91,1.88,357.09
Passenger_526,260.93,94.48,2.1,357.51
Passenger_528,263.02,94.07,1.21,358.3
Passenger_527,262.24,93.83,2.39,358.46
Passenger_529,263.03,94.47,1.72,359.22
Passenger_530,263.44,94.87,1.97,360.28
Passenger_532,263.67,95.56,1.63,360.85
Passenger_531,263.48,94.98,2.77,361.23
Passenger_534,264.57,96.28,1.26,362.11
Passenger_533,264.53,95.74,2.37,362.65
Passenger_536,268.06,94.04,1.44,363.54
Passenger_535,266.37,94.86,2.93,364.16
Passenger_537,268.27,94.37,2.05,364.69
Passenger_539,270.04,94.12,1.26,365.42
Passenger_538,269.69,93.86,2.4,365.94
Passenger_540,270.67,94.02,2.63,367.33
Passenger_541,271.14,94.28,2.78,368.21
Passenger_542,271.87,94.07,2.3,368.24
Passenger_543,272.21,95.12,1.91,369.23
Passenger_544,272.71,95.5,1.08,369.29
Passenger_545,272.88,95.37,1.41,369.65
Passenger_547,274.56,94.73,1.67,370.95
Passenger_548,275.03,94.63,1.41,371.06
Passenger_546,274.45,94.79,2.39,371.62
Passenger_550,276.2,94.86,1.44,372.51
Passenger_549,275.21,95.74,1.61,372.56
Passenger_551,276.35,95.26,1.82,373.44
Passenger_552,276.5,96.01,1.07,373.57
Passenger_555,276.96,96.61,1.82,375.4
Passenger_553,276.55,96.02,2.89,375.45
Passenger_554,276.72,96.72,2.44,375.88
Passenger_556,277.44,97.96,1.13,376.53
Passenger_557,278.16,97.29,1.76,377.21
Passenger_559,278.69,97.84,1.34,377.87
Passenger_558,278.51,97.37,2.07,377.95
Passenger_560,278.7,98.51,1.52,378.72
Passenger_562,281.22,96.73,1.52,379.47
Passenger_561,280.15,97.71,2.1,379.97
Passenger_563,281.87,96.85,1.62,380.35
Passenger_565,283.02,96.95,1.54,381.51
Passenger_564,282.6,96.87,2.39,381.85
Passenger_566,283.13,97.22,2.57,382.91
Passenger_567,283.29,98.22,2.09,383.59
Passenger_568,285.55,96.31,1.9,383.75
Passenger_569,286.95,95.97,2.17,385.09
Passenger_571,287.65,96.1,2.32,386.07
Passenger_570,287.3,96.29,2.91,386.51
Passenger_573,288.15,97.92,1.35,387.42
Passenger_572,287.95,97.13,2.43,387.52
Passenger_574,288.63,97.88,2.27,388.77
Passenger_575,288.72,98.7,1.97,389.39
Passenger_576,291.05,96.47,2.07,389.59
Passenger_578,291.93,97.46,0.85,390.24
Passenger_577,291.28,97.49,2.36,391.14
Passenger_579,292.69,96.9,2.09,391.68
Passenger_580,293.33,96.91,2.21,392.45
Passenger_581,293.83,97.31,2.25,393.39
Passenger_582,293.91,97.77,2.7,394.38
Passenger_583,294.48,97.97,2.04,394.49
Passenger_584,294.49,98.9,2.57,395.96
Passenger_586,296.72,97.77,1.51,396.0
Passenger_585,295.97,98.4,1.7,396.08
Passenger_587,296.92,99.04,2.3,398.26
Passenger_589,297.55,98.53,2.18,398.26
Passenger_588,297.46,98.54,2.85,398.85
Passenger_590,298.77,99.49,1.67,399.92
Passenger_592,299.39,99.46,1.94,400.79
Passenger_591,299.28,98.98,3.24,401.5
Passenger_593,299.53,100.39,1.68,401.6
Passenger_594,299.94,100.85,1.6,402.39
Passenger_597,300.86,101.53,1.16,403.55
Passenger_596,300.67,100.93,2.3,403.9
Passenger_595,300.06,101.44,2.66,404.16
Passenger_600,302.6,101.56,1.11,405.27
Passenger_599,302.43,101.47,1.53,405.43
Passenger_598,301.07,102.48,2.25,405.8
Passenger_601,303.22,102.05,1.26,406.53
Passenger_603,303.7,102.1,1.55,407.35
Passenger_602,303.37,102.05,2.09,407.52
Passenger_604,305.05,101.48,2.8,409.33
